+Участковая избирательная комиссия №1094	ТИК № 46	Кондратьева Ольга Николаевна	Член	"Региональное отделение в городе Санкт-Петербурге Политической партии ""Гражданская Платформа"""
-Участковая избирательная комиссия №1094	ТИК № 46	Савельева Розалия Николаевна	Член	собрание избирателей по месту жительства
-Участковая избирательная комиссия №1094	ТИК № 46	Тарасова Людмила Михайловна	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №1094	ТИК № 46	Панкратов Владислав Олегович	Член	"Политическая партия ""НОВЫЕ ЛЮДИ"""
+Участковая избирательная комиссия №1094	ТИК № 46	Панкратова Александра Олеговна	Член	"Региональная общественная организация поддержки и развития молодежного творчества ""Студенческий клуб Санкт-Петербурга"""
+Участковая избирательная комиссия №1094	ТИК № 46	Пелых Ольга Викторовна	Член	"Региональное отделение в Санкт-Петербурге Политической партии ""Российская экологическая партия ""Зелёные"""
+Участковая избирательная комиссия №1094	ТИК № 46	Смирнов Кузьма Сергеевич	Член	"Санкт-Петербургская Общественная организация в поддержку молодежи ""МИР МОЛОДЕЖИ"""
+Участковая избирательная комиссия №1094	ТИК № 46	Хмара Александр Андреевич	Член	"Региональное отделение в Санкт-Петербурге Всероссийской политической партии ""ПАРТИЯ РОСТА"""
-Участковая избирательная комиссия №1094	ТИК № 46	Ярвальт Виктория Андреевна	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №1094	ТИК № 46	Швецков Алексей Александрович	Член	"Общественная организация ""Всероссийское общество автомобилистов"""
-Участковая избирательная комиссия №1095	ТИК № 46	Трофимова Наталья Владимировна	Зам.председателя	"Межрегиональная общественная организация ""Союз женщин Санкт-Петербурга и Ленинградской области"" Союза женщин России"
+Участковая избирательная комиссия №1095	ТИК № 46	Мельников Александр Сергеевич	Член	"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""
-Участковая избирательная комиссия №1099	ТИК № 46	Галатова Юлия Вячеславовна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
