+Участковая избирательная комиссия №451	ТИК № 40	Макароничева Екатерина Дмитриевна	Секретарь	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
-Участковая избирательная комиссия №451	ТИК № 40	Комарова Виктория Вадимовна	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №451	ТИК № 40	Куфтырева Мария Павловна	Член	собрание избирателей по месту жительства
-Участковая избирательная комиссия №451	ТИК № 40	Рукосуев Виталий Вячеславович	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №451	ТИК № 40	Хлебникова Юлия Сергеевна	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №451	ТИК № 40	Хомутов Сергей Викторович	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №451	ТИК № 40	Чивадзе Арчил Вахтангович	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №452	ТИК № 40	Воробьев Дмитрий Александрович	Председатель	собрание избирателей по месту работы
+Участковая избирательная комиссия №452	ТИК № 40	Мамаева Марина Евгеньевна	Председатель	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
+Участковая избирательная комиссия №452	ТИК № 40	Бургонов Виктор Васильевич	Член	собрание избирателей по месту жительства
-Участковая избирательная комиссия №452	ТИК № 40	Коломиец Станислав Анатольевич	Член	собрание избирателей по месту жительства
-Участковая избирательная комиссия №452	ТИК № 40	Тарбаев Сергей Валентинович	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №452	ТИК № 40	Тарбаев Сергей Валентинович	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №453	ТИК № 40	Женалина Татьяна Владимировна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №453	ТИК № 40	Женалина Татьяна Владимировна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №454	ТИК № 40	Смоленский Александр Владимирович	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
-Участковая избирательная комиссия №455	ТИК № 40	Коломацкий Антон Александрович	Председатель	собрание избирателей по месту учебы
-Участковая избирательная комиссия №455	ТИК № 40	Иванов Мирослав Юрьевич	Зам.председателя	собрание избирателей по месту учебы
-Участковая избирательная комиссия №455	ТИК № 40	Голова Елизавета Алексеевна	Секретарь	собрание избирателей по месту учебы
-Участковая избирательная комиссия №455	ТИК № 40	Андреев Вадим Сергеевич	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
-Участковая избирательная комиссия №455	ТИК № 40	Виноградова Галина Георгиевна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №454	ТИК № 40	Смоленский Александр Владимирович	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
+Участковая избирательная комиссия №455	ТИК № 40	Пробылова Татьяна Георгиевна	Председатель	собрание избирателей по месту жительства
+Участковая избирательная комиссия №455	ТИК № 40	Пробылов Алексей Михайлович	Зам.председателя	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
+Участковая избирательная комиссия №455	ТИК № 40	Пробылова Анна Сергеевна	Секретарь	Калининское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
+Участковая избирательная комиссия №455	ТИК № 40	Андреев Вадим Сергеевич	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №455	ТИК № 40	Бобров Никита Евгеньевич	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №455	ТИК № 40	Виноградова Галина Георгиевна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №455	ТИК № 40	Кропотов Евгений Александрович	Член	Калининское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
-Участковая избирательная комиссия №456	ТИК № 40	Фонотова Елена Александровна	Секретарь	собрание избирателей по месту работы
-Участковая избирательная комиссия №456	ТИК № 40	Грамагина Марина Викторовна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №456	ТИК № 40	Фонотова Елена Александровна	Секретарь	Калининское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
+Участковая избирательная комиссия №456	ТИК № 40	Грамагина Марина Викторовна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №457	ТИК № 40	Горбачева Валентина Семеновна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №457	ТИК № 40	Горбачева Валентина Семеновна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №458	ТИК № 40	Жуковская Мария Борисовна	Председатель	собрание избирателей по месту жительства
+Участковая избирательная комиссия №458	ТИК № 40	Петровская Ирина Валерьевна	Председатель	собрание избирателей по месту жительства
-Участковая избирательная комиссия №458	ТИК № 40	Мищенко Ксения Игоревна	Секретарь	собрание избирателей по месту работы
+Участковая избирательная комиссия №458	ТИК № 40	Захарова Оксана Валентиновна	Секретарь	собрание избирателей по месту жительства
-Участковая избирательная комиссия №458	ТИК № 40	Клепикова Ирина Романовна	Член	Калининское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
+Участковая избирательная комиссия №458	ТИК № 40	Колбаско Алеся Игоревна	Член	"Калининское местное отделение политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""
+Участковая избирательная комиссия №458	ТИК № 40	Колбаско Светлана Тимофеевна	Член	собрание избирателей по месту жительства
-Участковая избирательная комиссия №458	ТИК № 40	Николаев Платон Андриянович	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №458	ТИК № 40	Павлова Валентина Леонидовна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
-Участковая избирательная комиссия №458	ТИК № 40	Харчук Евгений Сергеевич	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №458	ТИК № 40	Павлова Валентина Леонидовна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
+Участковая избирательная комиссия №458	ТИК № 40	Шелковников Ярослав Дмитриевич	Член	собрание избирателей по месту жительства
-Участковая избирательная комиссия №459	ТИК № 40	Оден Ольга Александровна	Зам.председателя	собрание избирателей по месту жительства
