-Участковая избирательная комиссия №427	ТИК № 38	Мухин Павел Алексеевич	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №427	ТИК № 38	Мухин Павел Алексеевич	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №429	ТИК № 38	Богатырев Василий Олегович	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №429	ТИК № 38	Богатырев Василий Олегович	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №430	ТИК № 38	Голоскоков Константин Юрьевич	Член	собрание избирателей по месту жительства
-Участковая избирательная комиссия №430	ТИК № 38	Ефремов Вячеслав Александрович	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №430	ТИК № 38	Денисенко Илья Петрович	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №430	ТИК № 38	Ефремов Вячеслав Александрович	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №430	ТИК № 38	Кормилицина Наталия Александровна	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №430	ТИК № 38	Сироткин Яков Ефимович	Член	"Региональное отделение в Санкт-Петербурге Всероссийской политической партии ""ПАРТИЯ РОСТА"""
-Участковая избирательная комиссия №431	ТИК № 38	Коршунова Татьяна Владимировна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №431	ТИК № 38	Коршунова Татьяна Владимировна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
+Участковая избирательная комиссия №431	ТИК № 38	Кузнецова Светлана Станиславовна	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
-Участковая избирательная комиссия №431	ТИК № 38	Хозяинов Илья Ольгертович	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
-Участковая избирательная комиссия №432	ТИК № 38	Опокина Наталья Викторовна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №432	ТИК № 38	Опокина Наталья Викторовна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №433	ТИК № 38	Козлов Константин Андреевич	Зам.председателя	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №433	ТИК № 38	Козлов Константин Андреевич	Зам.председателя	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
+Участковая избирательная комиссия №433	ТИК № 38	Госсе Марианна Николаевна	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
+Участковая избирательная комиссия №433	ТИК № 38	Клемазов Павел Вячеславович	Член	"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""
-Участковая избирательная комиссия №433	ТИК № 38	Прохина Алина Вадимовна	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
-Участковая избирательная комиссия №433	ТИК № 38	Снимщиков Андрей Александрович	Член	"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""
-Участковая избирательная комиссия №434	ТИК № 38	Вдовиченко Павел Андреевич	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №434	ТИК № 38	Юрьева Анна Михайловна	Зам.председателя	собрание избирателей по месту жительства
+Участковая избирательная комиссия №434	ТИК № 38	Лойко Анастасия Сергеевна	Секретарь	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
