-Участковая избирательная комиссия №1451	ТИК № 50	Росликова Ольга Александровна	Член	"Местное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ"" Муниципального образования МО №54"
-Участковая избирательная комиссия №1451	ТИК № 50	Слесарев Виталий Владимирович	Член	"Санкт-Петербургская общественная организация ""Общество ветеранов Афганистана ""Апрель"""
-Участковая избирательная комиссия №1451	ТИК № 50	Устинова Татьяна Сергеевна	Член	"Региональное отделение Всероссийской политической партии ""Союз Труда"" в Санкт-Петербурге"
+Участковая избирательная комиссия №1451	ТИК № 50	Старшова Наталья Геннадьева	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №1452	ТИК № 50	Михайлов Виталий Андреевич	Секретарь	"Местное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ"" Муниципального образования МО №54"
-Участковая избирательная комиссия №1452	ТИК № 50	Горшкова Илона Владимировна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №1452	ТИК № 50	Горшкова Илона Владимировна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №1453	ТИК № 50	Драгомилов Дмитрий Иванович	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №1453	ТИК № 50	Драгомилов Дмитрий Иванович	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №1454	ТИК № 50	Николаева Наталья Михайловна	Председатель	"Санкт-Петербургская региональная общественная организация инвалидов ""Союз""Чернобыль-Нева"""
-Участковая избирательная комиссия №1454	ТИК № 50	Новикова Надежда Станиславовна	Зам.председателя	"Санкт-Петербургское региональное отделение Общероссийской политической партии ""Народная партия ""За женщин России"""
