-Участковая избирательная комиссия №2210	ТИК № 64	Расторгуев Владимир Кириллович	Член	Центральное местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
-Участковая избирательная комиссия №2210	ТИК № 64	Титкова Мария Алексеевна	Член	"Региональная общественная организация поддержки и развития молодежного творчества ""Гаудеамус"""
-Участковая избирательная комиссия №2210	ТИК № 64	Шнырева Инна Игоревна	Член	собрание избирателей по месту жительства
-Участковая избирательная комиссия №2211	ТИК № 64	Антонова Юлия Александровна	Председатель	"Санкт-Петербургское региональное отделение Общероссийской политической партии ""Народная партия ""За женщин России"""
-Участковая избирательная комиссия №2211	ТИК № 64	Антонова Виктория Эдуардовна	Зам.председателя	"Региональное отделение Всероссийской политической партии ""Союз Труда"" в Санкт-Петербурге"
-Участковая избирательная комиссия №2211	ТИК № 64	Петросян Сурен Сергеевич	Секретарь	"Региональная общественная организация поддержки и развития молодежного творчества ""Студенческий клуб Санкт-Петербурга"""
+Участковая избирательная комиссия №2210	ТИК № 64	Расторгуев Кирилл Валерьевич	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №2210	ТИК № 64	Торжков Михаил Юрьевич	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №2211	ТИК № 64	Петросян Сурен Сергеевич	Председатель	"Региональная общественная организация поддержки и развития молодежного творчества ""Студенческий клуб Санкт-Петербурга"""
+Участковая избирательная комиссия №2211	ТИК № 64	Антонова Юлия Александровна	Зам.председателя	"Общероссийская политическая партия ""Народная партия ""За женщин России"""
+Участковая избирательная комиссия №2211	ТИК № 64	Антонова Виктория Эдуардовна	Секретарь	"Региональное отделение Всероссийской политической партии ""Союз Труда"" в Санкт-Петербурге"
-Участковая избирательная комиссия №2211	ТИК № 64	Васильев Сергей Витальевич	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №2211	ТИК № 64	Васильев Сергей Витальевич	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №2211	ТИК № 64	Карлов Владислав Вадимович	Член	Центральное местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
+Участковая избирательная комиссия №2211	ТИК № 64	Костусева Марина Ивановна	Член	Центральное местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
-Участковая избирательная комиссия №2212	ТИК № 64	Стефанцова Ольга Александровна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №2212	ТИК № 64	Стефанцова Ольга Александровна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №2213	ТИК № 64	Зачиняева Мария Алексеевна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №2213	ТИК № 64	Зачиняева Мария Алексеевна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №2214	ТИК № 64	Турцева Александра Сергеевна	Председатель	"Региональная общественная организация поддержки и развития молодежного творчества ""Студенческий клуб Санкт-Петербурга"""
-Участковая избирательная комиссия №2214	ТИК № 64	Герасимова Галина Алексеевна	Зам.председателя	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
-Участковая избирательная комиссия №2214	ТИК № 64	Павлова Татьяна Васильевна	Секретарь	"Региональное отделение Всероссийской политической партии ""Союз Труда"" в Санкт-Петербурге"
-Участковая избирательная комиссия №2214	ТИК № 64	Авдеев Николай Сергеевич	Член	"Региональная общественная организация поддержки и развития молодежного творчества ""Гаудеамус"""
+Участковая избирательная комиссия №2214	ТИК № 64	Белокурова Анна Александровна	Председатель	собрание избирателей по месту работы
+Участковая избирательная комиссия №2214	ТИК № 64	Галахов Андрей Петрович	Зам.председателя	"Центральное местное (районнное) отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ"""
+Участковая избирательная комиссия №2214	ТИК № 64	Березина Анастасия Юрьевна	Секретарь	собрание избирателей по месту работы
-Участковая избирательная комиссия №2214	ТИК № 64	Галахов Андрей Петрович	Член	"Центральное местное (районнное) отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ"""
-Участковая избирательная комиссия №2214	ТИК № 64	Можейко Виктория Сергеевна	Член	"Санкт-Петербургское региональное отделение Общероссийской политической партии ""Народная партия ""За женщин России"""
-Участковая избирательная комиссия №2214	ТИК № 64	Можейко Ирина Александровна	Член	"Региональное отделение в Санкт-Петербурге Политической партии ""Российская экологическая партия ""Зелёные"""
-Участковая избирательная комиссия №2214	ТИК № 64	Никоноров Григорий Борисович	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №2214	ТИК № 64	Греченкова Анна Николаевна	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №2214	ТИК № 64	Егоров Александр Евгеньевич	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
